Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
ATAT1	ENSG00000137343.17	67.209	25.060	1.388	1.03e-122
ATF1	ENSG00000123268.8	10.375	3.690	1.278	6.62e-110
ATF6	ENSG00000118217.5	11.830	3.970	1.368	1.39e-159
ATF7	ENSG00000170653.18	16.895	6.730	1.211	4.66e-131
ATF7IP	ENSG00000171681.12	20.290	4.240	2.023	2.91e-168
ATF7IP2	ENSG00000166669.13	1.740	7.870	-1.695	4.13e-119
ATG9B	ENSG00000181652.18	0.685	3.340	-1.365	2.14e-96
ATL3	ENSG00000184743.12	10.460	3.480	1.355	4.80e-97
ATM	ENSG00000149311.17	16.220	5.870	1.326	1.16e-73
ATOH7	ENSG00000179774.8	0.365	2.020	-1.146	2.50e-72
ATOH8	ENSG00000168874.12	42.979	4.960	2.883	2.39e-111
ATP10D	ENSG00000145246.13	6.340	2.470	1.081	1.57e-75
ATP11A	ENSG00000068650.18	10.790	4.760	1.033	6.17e-50
ATP11C	ENSG00000101974.14	4.130	1.440	1.072	1.18e-113
ATP13A2	ENSG00000159363.17	44.080	100.238	-1.167	3.94e-46
ATP1A3	ENSG00000105409.15	100.802	203.981	-1.010	6.23e-14
ATP1B1	ENSG00000143153.12	74.348	192.364	-1.360	4.62e-32
ATP2B1	ENSG00000070961.14	14.990	33.969	-1.129	8.76e-27
ATP2B2	ENSG00000157087.16	14.025	52.691	-1.837	8.19e-54
ATP2B3	ENSG00000067842.17	1.455	13.350	-2.547	1.28e-62
ATP4A	ENSG00000105675.8	0.010	1.090	-1.049	5.21e-177
ATP5G2	ENSG00000135390.17	587.216	258.962	1.178	3.46e-135
ATP5J2-PTCD1	ENSG00000248919.7	6.060	1.780	1.345	1.56e-116
ATP6V0E1	ENSG00000113732.8	208.715	46.381	2.146	2.80e-230
ATP6V1B1	ENSG00000116039.11	2.460	0.230	1.492	8.12e-108
ATP6V1H	ENSG00000047249.16	53.690	121.591	-1.165	1.21e-56
ATP8A2	ENSG00000132932.16	1.485	7.280	-1.736	2.88e-42
ATRAID	ENSG00000138085.16	107.042	31.670	1.726	1.05e-210
ATRIP	ENSG00000164053.17	5.685	2.290	1.023	2.61e-146
ATXN7L3	ENSG00000087152.15	29.345	78.749	-1.394	1.47e-77
AURKB	ENSG00000178999.12	2.580	0.070	1.742	2.18e-69
AZGP1	ENSG00000160862.12	12.750	4.370	1.356	9.39e-23
AZIN1	ENSG00000155096.13	83.949	33.430	1.303	7.64e-93
AZIN1-AS1	ENSG00000253320.5	11.800	4.590	1.195	6.87e-129
B2M	ENSG00000166710.17	2725.111	532.780	2.353	5.11e-146
B3GAT2	ENSG00000112309.10	14.055	5.470	1.218	5.38e-36
B3GNT4	ENSG00000176383.8	0.830	4.780	-1.659	1.35e-99
B3GNT9	ENSG00000237172.3	9.970	3.170	1.395	8.49e-62
B4GALNT1	ENSG00000135454.13	19.435	47.359	-1.243	1.08e-30
B4GALNT3	ENSG00000139044.10	0.690	4.280	-1.643	3.11e-104
B4GALT1	ENSG00000086062.12	6.280	1.660	1.452	3.85e-102
B4GALT4	ENSG00000121578.12	15.705	6.160	1.222	8.85e-133
B4GALT5	ENSG00000158470.5	27.455	10.980	1.248	2.88e-85
BAALC-AS2	ENSG00000236939.2	8.525	3.480	1.088	4.14e-44
BACH1	ENSG00000156273.15	8.180	1.820	1.703	9.26e-163
BAG3	ENSG00000151929.9	34.490	15.050	1.145	1.39e-17
BAIAP2L2	ENSG00000128298.16	1.740	7.080	-1.560	3.80e-107
BAIAP3	ENSG00000007516.13	22.030	74.130	-1.706	2.64e-37
BAMBI	ENSG00000095739.10	11.155	4.930	1.035	1.27e-54
BANF1	ENSG00000175334.7	227.598	101.799	1.153	1.54e-133
BARD1	ENSG00000138376.10	3.175	0.700	1.296	3.60e-97
BASP1	ENSG00000176788.8	99.909	267.203	-1.410	5.22e-37
BAX	ENSG00000087088.19	83.282	28.210	1.529	1.33e-144
BAZ1A	ENSG00000198604.10	8.180	1.930	1.648	6.24e-114
BAZ1B	ENSG00000009954.10	29.619	12.290	1.204	7.67e-116
BAZ2B	ENSG00000123636.17	21.365	8.340	1.260	5.99e-68
BBOX1	ENSG00000129151.8	47.594	10.750	2.048	1.24e-79
BBS10	ENSG00000179941.6	12.370	4.060	1.402	7.63e-122
BBX	ENSG00000114439.18	18.600	4.200	1.914	3.14e-136
BCAN	ENSG00000132692.18	1609.949	77.848	4.353	2.89e-216
BCAS4	ENSG00000124243.17	3.150	11.290	-1.566	4.02e-83
BCCIP	ENSG00000107949.16	46.131	21.621	1.059	2.83e-120
BCHE	ENSG00000114200.9	64.908	3.600	3.841	2.12e-263
BCKDHA	ENSG00000248098.10	32.099	13.760	1.165	1.02e-122
BCL11A	ENSG00000119866.20	2.785	35.289	-3.261	4.70e-122
BCL2L11	ENSG00000153094.21	6.070	1.410	1.553	1.58e-133
BCL2L13	ENSG00000099968.17	36.235	14.880	1.229	5.06e-121
BCL2L2	ENSG00000129473.9	33.136	68.612	-1.028	5.66e-55
BCL2L2-PABPN1	ENSG00000258643.5	6.275	0.800	2.015	1.26e-46
BCL6	ENSG00000113916.17	57.972	20.849	1.432	8.10e-66
BCL7C	ENSG00000099385.11	26.345	8.650	1.503	1.06e-184
BCL9L	ENSG00000186174.12	16.355	6.110	1.287	1.21e-55
BCLAF1	ENSG00000029363.15	52.099	20.589	1.298	2.34e-74
BCO2	ENSG00000197580.11	2.410	6.200	-1.078	1.11e-61
BDH1	ENSG00000161267.11	12.025	38.249	-1.591	1.13e-57
BDNF-AS	ENSG00000245573.7	14.370	5.860	1.164	1.51e-90
BEAN1	ENSG00000166546.13	1.710	4.940	-1.132	4.36e-44
BEGAIN	ENSG00000183092.15	3.565	34.859	-2.974	3.00e-128
BEND7	ENSG00000165626.16	9.875	3.130	1.397	1.60e-104
BEST3	ENSG00000127325.18	21.065	0.920	3.523	3.79e-135
BEX2	ENSG00000133134.11	89.127	189.610	-1.081	6.01e-31
BEX5	ENSG00000184515.10	10.370	100.753	-3.162	2.34e-86
BFAR	ENSG00000103429.10	23.840	10.560	1.104	4.28e-139
BFSP1	ENSG00000125864.11	0.450	2.380	-1.221	4.26e-98
BHLHE22	ENSG00000180828.2	0.170	2.390	-1.535	1.02e-91
BHLHE40	ENSG00000134107.4	18.445	44.622	-1.230	2.26e-38
BID	ENSG00000015475.18	60.189	28.070	1.074	1.95e-73
BIN2	ENSG00000110934.10	4.805	1.180	1.413	8.97e-78
BIRC5	ENSG00000089685.14	3.050	0.150	1.816	4.31e-65
BLM	ENSG00000197299.10	6.550	2.730	1.017	9.32e-35
BLMH	ENSG00000108578.14	26.080	10.930	1.183	1.17e-138
BLNK	ENSG00000095585.16	4.375	0.910	1.493	7.24e-64
BLOC1S5	ENSG00000188428.16	5.785	2.020	1.168	1.07e-157
BLVRA	ENSG00000106605.10	59.235	28.369	1.036	3.79e-117
BMF	ENSG00000104081.13	3.130	0.380	1.581	2.61e-109
BMP2	ENSG00000125845.6	21.585	0.760	3.682	2.90e-148
BMP2K	ENSG00000138756.17	15.020	5.300	1.346	1.87e-94
BMP7	ENSG00000101144.12	52.396	12.630	1.970	2.94e-139
BMPR1A	ENSG00000107779.11	8.065	1.950	1.620	1.10e-146
BMPR1APS2	ENSG00000232460.4	2.085	0.000	1.625	8.88e-85
BMPR1B	ENSG00000138696.10	11.985	4.190	1.323	2.73e-55
BNIP2	ENSG00000140299.11	18.455	6.470	1.381	3.92e-141
BNIP3L	ENSG00000104765.14	72.068	32.780	1.113	9.01e-93
BOC	ENSG00000144857.14	17.995	4.770	1.719	1.99e-102
BOLA2	ENSG00000183336.7	9.295	3.550	1.178	8.15e-89
BPNT1	ENSG00000162813.17	18.181	5.900	1.475	2.01e-175
BRAT1	ENSG00000106009.15	34.210	15.530	1.091	2.17e-108
BRCA1	ENSG00000012048.19	3.485	1.160	1.054	6.01e-77
BRD3	ENSG00000169925.16	22.740	6.880	1.591	1.63e-151
BRD7	ENSG00000166164.15	75.494	28.041	1.397	1.94e-191
BRICD5	ENSG00000182685.7	8.360	21.259	-1.250	5.57e-52
BRINP3	ENSG00000162670.10	25.250	8.620	1.448	5.68e-45
BRIX1	ENSG00000113460.12	19.305	8.830	1.047	9.94e-131
BRMS1	ENSG00000174744.13	35.941	12.670	1.434	2.38e-179
BROX	ENSG00000162819.11	26.120	8.940	1.448	1.03e-173
BRSK1	ENSG00000160469.16	37.994	174.598	-2.171	2.66e-119
BRSK2	ENSG00000174672.15	30.444	80.158	-1.368	6.42e-57
BSCL2	ENSG00000168000.14	73.335	305.620	-2.044	9.91e-69
BSN	ENSG00000164061.4	4.680	17.570	-1.709	1.10e-49
BST2	ENSG00000130303.12	42.119	19.560	1.069	1.27e-33
BTBD17	ENSG00000204347.3	22.815	1.220	3.423	1.69e-155
BTD	ENSG00000169814.12	14.180	4.540	1.454	1.53e-179
BTF3	ENSG00000145741.15	503.447	169.154	1.568	2.72e-175
BTF3L4	ENSG00000134717.17	48.839	21.350	1.157	5.94e-101
BTF3L4P2	ENSG00000213189.5	32.835	9.750	1.654	1.98e-113
BTG1	ENSG00000133639.4	38.419	7.520	2.210	4.31e-195
BTG2	ENSG00000159388.5	76.984	16.870	2.126	1.01e-130
BTG3	ENSG00000154640.14	23.385	5.680	1.868	1.47e-145
BTK	ENSG00000010671.15	4.825	1.040	1.514	1.71e-72
BTN2A2	ENSG00000124508.16	5.030	1.610	1.208	1.47e-72
BTN3A1	ENSG00000026950.16	13.110	4.410	1.383	6.50e-91
BTN3A2	ENSG00000186470.13	16.630	3.220	2.063	1.89e-110
BTN3A3	ENSG00000111801.15	13.374	4.720	1.329	2.67e-69
BTNL9	ENSG00000165810.16	4.675	13.920	-1.395	3.82e-68
BUB1	ENSG00000169679.14	1.380	0.110	1.100	5.48e-61
BUB3	ENSG00000154473.17	44.766	17.330	1.320	1.69e-123
BX255923.3	ENSG00000276462.1	0.220	8.630	-2.981	1.29e-211
BYSL	ENSG00000112578.9	16.125	5.520	1.393	8.86e-158
BZRAP1	ENSG00000005379.15	42.235	124.051	-1.532	8.84e-83
BZW1	ENSG00000082153.17	84.515	22.700	1.851	3.41e-143
BZW1P2	ENSG00000198406.7	10.610	1.700	2.104	6.60e-97
C10orf11	ENSG00000148655.14	5.740	2.250	1.052	4.11e-57
C10orf2	ENSG00000107815.7	10.235	2.270	1.781	7.17e-188
C10orf35	ENSG00000171224.8	8.090	36.770	-2.055	1.24e-61
C10orf54	ENSG00000107738.19	59.329	22.040	1.389	1.78e-63
C11orf54	ENSG00000182919.14	18.470	7.120	1.262	3.03e-130
C11orf58	ENSG00000110696.9	156.497	54.959	1.493	1.26e-131
C11orf71	ENSG00000180425.10	14.585	6.130	1.128	1.95e-113
C11orf87	ENSG00000185742.6	0.570	13.290	-3.186	4.04e-93
C11orf96	ENSG00000187479.5	38.410	11.870	1.615	1.75e-36
C11orf97	ENSG00000257057.1	0.110	1.800	-1.335	2.10e-92
C12orf75	ENSG00000235162.8	12.345	3.780	1.481	1.44e-76
C14orf166	ENSG00000087302.8	129.907	57.348	1.166	2.46e-141
C14orf37	ENSG00000139971.15	6.540	1.570	1.553	1.83e-122
C14orf93	ENSG00000100802.14	9.235	2.520	1.540	1.52e-205
C15orf27	ENSG00000169758.12	0.670	5.700	-2.004	1.17e-131
C15orf39	ENSG00000167173.18	9.160	2.150	1.689	5.87e-138
C15orf40	ENSG00000169609.13	16.270	6.250	1.252	2.43e-144
C15orf52	ENSG00000188549.12	13.760	4.740	1.363	5.68e-91
C16orf89	ENSG00000153446.15	7.605	17.490	-1.103	5.18e-26
C17orf107	ENSG00000205710.3	0.425	3.040	-1.503	3.80e-103
C17orf62	ENSG00000178927.16	59.726	26.559	1.140	4.65e-106
C19orf38	ENSG00000214212.8	2.935	0.520	1.372	2.53e-99
C19orf48	ENSG00000167747.13	19.706	6.700	1.427	4.59e-126
C19orf54	ENSG00000188493.14	8.595	2.550	1.434	4.36e-165
C19orf57	ENSG00000132016.11	7.095	3.010	1.013	1.58e-74
C1GALT1C1	ENSG00000171155.7	12.010	4.360	1.279	7.44e-151
C1GALT1C1L	ENSG00000223658.6	2.055	0.470	1.055	1.67e-61
C1orf106	ENSG00000163362.10	5.030	0.880	1.681	1.41e-102
C1orf109	ENSG00000116922.14	18.125	7.370	1.192	3.01e-79
C1orf112	ENSG00000000460.16	2.905	0.950	1.002	3.58e-97
C1orf115	ENSG00000162817.6	5.015	61.469	-3.376	2.81e-105
C1orf145	ENSG00000162913.9	0.250	1.760	-1.143	5.87e-79
C1orf159	ENSG00000131591.17	6.045	14.270	-1.116	5.81e-68
C1orf162	ENSG00000143110.11	13.180	3.770	1.572	1.96e-53
C1orf198	ENSG00000119280.16	69.976	23.591	1.529	7.14e-99
C1orf204	ENSG00000188004.9	1.400	6.910	-1.721	6.65e-97
C1orf216	ENSG00000142686.7	19.945	51.250	-1.319	8.39e-38
C1orf226	ENSG00000239887.4	9.305	1.570	2.003	2.80e-131
C1orf27	ENSG00000157181.14	12.430	5.230	1.108	1.63e-115
C1orf56	ENSG00000143443.9	7.545	2.190	1.422	2.36e-211
C1orf61	ENSG00000125462.16	2389.428	521.816	2.193	2.29e-113
C1orf94	ENSG00000142698.14	2.625	0.240	1.548	7.54e-142
C1QA	ENSG00000173372.16	129.943	8.390	3.802	1.00e-156
C1QB	ENSG00000173369.15	190.843	13.830	3.693	1.81e-132
C1QC	ENSG00000159189.11	159.619	9.050	3.998	8.35e-160
C1QL1	ENSG00000131094.3	186.469	21.021	3.090	1.35e-104
C1QL2	ENSG00000144119.3	1.830	10.470	-2.019	1.70e-79
C1QL3	ENSG00000165985.9	0.470	5.560	-2.158	2.18e-32
C1QL4	ENSG00000186897.4	1.860	0.150	1.314	3.08e-52
C1QTNF1	ENSG00000173918.14	16.265	5.450	1.421	4.84e-49
C1QTNF3	ENSG00000082196.20	13.205	4.730	1.310	1.81e-76
C1QTNF4	ENSG00000172247.3	4.215	36.309	-2.839	8.63e-115
C1QTNF5	ENSG00000223953.4	100.478	6.830	3.696	7.07e-240
C1R	ENSG00000159403.15	28.025	7.780	1.725	5.17e-45
C2	ENSG00000166278.14	5.750	2.020	1.160	8.51e-45
C20orf166-AS1	ENSG00000174403.15	0.070	1.780	-1.377	6.30e-131
C21orf33	ENSG00000160221.16	23.595	9.760	1.193	9.90e-37
C21orf62	ENSG00000205929.9	3.915	0.120	2.134	4.23e-75
C2CD2L	ENSG00000172375.12	17.135	35.690	-1.017	7.78e-32
C2CD4C	ENSG00000183186.7	3.670	18.770	-2.082	8.85e-101
C2orf27A	ENSG00000197927.12	15.395	3.620	1.827	5.06e-79
C2orf44	ENSG00000163026.11	5.135	1.970	1.047	1.19e-132
C2orf49	ENSG00000135974.9	12.980	5.660	1.070	4.87e-96
C2orf68	ENSG00000168887.10	20.975	5.170	1.833	1.09e-191
C2orf76	ENSG00000186132.14	24.840	9.040	1.364	7.70e-197
C2orf88	ENSG00000187699.10	14.670	1.870	2.449	3.66e-133
C3	ENSG00000125730.16	315.511	28.541	3.421	2.25e-115
C3AR1	ENSG00000171860.4	14.465	0.910	3.017	1.89e-130
C3orf38	ENSG00000179021.9	11.280	3.740	1.373	4.67e-159
C3orf70	ENSG00000187068.2	15.385	5.740	1.282	5.52e-43
C3orf80	ENSG00000180044.4	0.495	11.310	-3.042	4.43e-123
C4A	ENSG00000244731.7	136.210	19.870	2.717	1.09e-73
C4B	ENSG00000224389.8	140.926	17.640	2.929	4.84e-77
C4orf46	ENSG00000205208.4	3.370	1.070	1.078	2.20e-127
C4orf50	ENSG00000181215.12	0.160	2.300	-1.508	4.39e-139
C5AR1	ENSG00000197405.7	3.190	0.830	1.195	5.98e-35
C5orf15	ENSG00000113583.7	25.394	8.710	1.443	5.20e-150
C5orf38	ENSG00000186493.11	15.235	0.240	3.711	4.55e-89
C5orf49	ENSG00000215217.6	1.420	5.940	-1.520	5.38e-38
C5orf51	ENSG00000205765.8	15.140	5.560	1.299	6.47e-135
C6orf3	ENSG00000255389.1	11.715	3.440	1.518	7.58e-84
C6orf47	ENSG00000204439.3	16.800	5.670	1.416	1.62e-243
C6orf48	ENSG00000204387.12	254.336	80.020	1.656	2.58e-140
C6orf52	ENSG00000137434.11	5.525	1.720	1.262	7.62e-100
C6orf62	ENSG00000112308.12	106.410	43.051	1.286	1.24e-134
C6orf89	ENSG00000198663.16	39.401	17.800	1.104	5.56e-128
C7orf26	ENSG00000146576.12	29.615	13.890	1.040	4.07e-117
C7orf49	ENSG00000122783.16	26.231	7.480	1.683	7.56e-186
C7orf55	ENSG00000164898.12	46.250	17.680	1.339	1.40e-139
C7orf60	ENSG00000164603.11	7.485	3.120	1.042	5.47e-95
C7orf61	ENSG00000185955.4	9.665	2.220	1.728	2.33e-84
C7orf73	ENSG00000243317.7	34.969	11.640	1.509	2.05e-174
C8orf33	ENSG00000182307.12	53.500	23.630	1.146	1.46e-114
C8orf37	ENSG00000156172.5	3.585	1.270	1.014	4.36e-113
C9orf129	ENSG00000204352.2	1.115	3.270	-1.014	1.49e-40
C9orf156	ENSG00000136932.13	15.290	5.240	1.384	3.77e-160
C9orf172	ENSG00000232434.2	3.825	19.849	-2.111	1.61e-147
C9orf24	ENSG00000164972.12	1.550	28.300	-3.522	1.17e-103
C9orf85	ENSG00000155621.14	10.180	3.810	1.217	1.78e-161
C9orf91	ENSG00000157693.14	9.320	20.540	-1.062	7.38e-35
CA11	ENSG00000063180.8	48.949	374.909	-2.912	3.93e-128
CA12	ENSG00000074410.13	4.540	0.760	1.654	1.78e-49
CA14	ENSG00000118298.10	10.035	3.260	1.373	1.56e-46
CA7	ENSG00000168748.13	0.350	8.530	-2.820	8.61e-134
CABLES1	ENSG00000134508.12	10.685	23.769	-1.084	2.49e-34
CABP1	ENSG00000157782.9	11.520	383.078	-4.939	5.30e-152
CABYR	ENSG00000154040.20	2.730	8.970	-1.418	3.64e-63
CACFD1	ENSG00000160325.14	22.355	9.650	1.133	4.85e-125
CACNA1A	ENSG00000141837.18	15.475	36.770	-1.197	1.23e-32
CACNA1B	ENSG00000148408.12	1.140	10.450	-2.420	3.02e-103
CACNA1E	ENSG00000198216.10	2.080	6.910	-1.361	1.63e-37
CACNA1G	ENSG00000006283.17	1.625	8.140	-1.800	2.61e-64
CACNA1I	ENSG00000100346.17	0.740	7.340	-2.261	1.05e-117
CACNA2D3	ENSG00000157445.14	2.580	15.130	-2.172	1.62e-73
CACNB1	ENSG00000067191.15	10.905	40.470	-1.800	1.55e-77
CACNB2	ENSG00000165995.18	4.610	14.510	-1.467	8.91e-58
CACNB3	ENSG00000167535.7	10.445	55.161	-2.295	9.13e-112
CACNG3	ENSG00000006116.3	1.280	35.341	-3.994	7.89e-109
CACNG4	ENSG00000075461.5	56.670	9.250	2.492	1.91e-109
CACNG8	ENSG00000142408.2	3.235	17.910	-2.159	3.45e-80
CADM2	ENSG00000175161.13	40.145	17.490	1.154	2.82e-35
CADM4	ENSG00000105767.2	201.983	78.460	1.353	1.20e-138
CADPS2	ENSG00000081803.15	6.405	20.980	-1.570	3.27e-40
CALB1	ENSG00000104327.7	1.875	7.420	-1.550	7.69e-22
CALB2	ENSG00000172137.18	3.145	23.280	-2.550	2.16e-54
CALCOCO2	ENSG00000136436.14	65.158	29.009	1.141	3.05e-76
CALCRL	ENSG00000064989.12	37.909	1.710	3.844	2.47e-167
CALHM1	ENSG00000185933.6	0.050	1.510	-1.257	9.63e-98
CALM3	ENSG00000160014.16	340.213	940.183	-1.464	2.88e-41
CALML6	ENSG00000169885.9	0.150	1.350	-1.031	7.73e-186
CALR	ENSG00000179218.13	362.540	95.829	1.909	2.22e-181
CALU	ENSG00000128595.16	34.031	11.530	1.483	3.90e-105
CALY	ENSG00000130643.8	6.970	127.592	-4.012	6.29e-101
CAMK1D	ENSG00000183049.12	14.275	29.999	-1.021	1.38e-30
CAMK1G	ENSG00000008118.9	1.480	40.771	-4.074	1.21e-105
CAMK2A	ENSG00000070808.15	9.545	347.675	-5.047	2.62e-101
CAMK2B	ENSG00000058404.19	18.485	123.493	-2.676	8.96e-74
CAMK2N1	ENSG00000162545.5	84.926	418.591	-2.288	8.01e-99
CAMK4	ENSG00000152495.10	2.620	6.250	-1.002	7.28e-17
CAMKK1	ENSG00000004660.14	6.150	63.399	-3.171	3.74e-91
CAMKK2	ENSG00000110931.18	17.220	99.229	-2.460	5.05e-102
CAMKV	ENSG00000164076.16	9.525	115.519	-3.469	5.65e-89
CAMSAP3	ENSG00000076826.9	6.105	15.380	-1.205	3.41e-41
CAMTA2	ENSG00000108509.20	37.479	127.831	-1.743	1.31e-118
CANX	ENSG00000127022.14	289.164	78.672	1.865	3.53e-150
CAP1	ENSG00000131236.16	120.083	59.169	1.009	3.43e-75
CAP2	ENSG00000112186.11	12.015	41.300	-1.700	3.67e-44
CAPG	ENSG00000042493.15	44.344	20.920	1.049	4.87e-25
CAPN2	ENSG00000162909.17	83.981	36.980	1.162	5.65e-100
CAPRIN1	ENSG00000135387.19	98.509	42.739	1.186	7.17e-119
CAPRIN2	ENSG00000110888.17	13.005	31.169	-1.200	2.54e-64
CAPZA2	ENSG00000198898.12	100.248	32.369	1.601	1.53e-98
CAPZB	ENSG00000077549.17	245.588	120.701	1.019	1.02e-88
CARD11	ENSG00000198286.9	2.495	0.710	1.031	1.59e-68
CARD8	ENSG00000105483.16	17.620	5.470	1.525	1.95e-124
CARTPT	ENSG00000164326.4	0.080	46.850	-5.469	9.55e-175
CASC10	ENSG00000204682.5	0.905	3.180	-1.134	5.83e-80
CASC4	ENSG00000166734.18	73.175	32.561	1.144	5.21e-102
CASK	ENSG00000147044.20	30.150	4.770	2.433	6.98e-217
CASKIN1	ENSG00000167971.15	13.400	59.350	-2.067	3.92e-79
CASKIN2	ENSG00000177303.9	23.429	10.060	1.143	1.09e-112
CASP1	ENSG00000137752.22	8.125	1.950	1.629	5.26e-71
CASP2	ENSG00000106144.19	8.855	3.340	1.183	3.10e-99
CASP3	ENSG00000164305.17	14.420	5.840	1.173	8.29e-107
CAT	ENSG00000121691.4	38.675	17.881	1.071	1.27e-104
CATSPER2	ENSG00000166762.16	2.730	8.240	-1.309	5.77e-95
CAV1	ENSG00000105974.11	10.005	3.800	1.197	6.59e-44
CBFA2T3	ENSG00000129993.14	2.385	7.730	-1.367	1.37e-85
CBFB	ENSG00000067955.13	23.870	5.380	1.963	1.13e-158
CBL	ENSG00000110395.4	9.170	3.280	1.249	4.07e-115
CBLB	ENSG00000114423.18	7.395	2.360	1.321	1.03e-106
CBLL1	ENSG00000105879.11	14.035	4.980	1.330	7.09e-130
CBLN2	ENSG00000141668.9	2.040	34.539	-3.547	3.18e-113
CBLN3	ENSG00000139899.10	0.560	2.220	-1.045	6.04e-70
CBLN4	ENSG00000054803.3	0.355	9.990	-3.020	1.11e-82
CBR4	ENSG00000145439.11	17.225	7.650	1.075	4.38e-93
CBS	ENSG00000274276.4	23.295	9.170	1.256	6.84e-10
CBX2	ENSG00000173894.10	3.900	1.010	1.286	1.60e-101
CBX3	ENSG00000122565.18	125.339	45.540	1.441	7.19e-150
CBX3P2	ENSG00000266405.3	2.485	0.540	1.178	8.67e-112
CBX5	ENSG00000094916.13	38.170	11.460	1.652	4.44e-176
CBX7	ENSG00000100307.12	26.495	83.118	-1.613	3.29e-79
CBX8	ENSG00000141570.10	5.540	1.270	1.527	1.92e-189
CBY1	ENSG00000100211.10	39.611	17.920	1.102	6.39e-143
CC2D2A	ENSG00000048342.15	22.389	8.090	1.364	4.74e-149
CCAR2	ENSG00000158941.16	126.535	59.350	1.079	6.97e-113
CCDC101	ENSG00000176476.8	28.764	8.370	1.667	4.06e-163
CCDC102A	ENSG00000135736.5	3.970	1.030	1.292	2.38e-100
CCDC102B	ENSG00000150636.15	7.995	2.790	1.247	8.47e-144
CCDC103	ENSG00000167131.16	5.135	1.870	1.096	6.98e-55
CCDC136	ENSG00000128596.16	24.550	54.462	-1.118	2.45e-26
CCDC160	ENSG00000203952.9	4.725	0.830	1.645	2.29e-131
CCDC167	ENSG00000198937.8	62.654	14.820	2.008	1.49e-185
CCDC177	ENSG00000267909.2	0.185	1.700	-1.188	4.93e-84
CCDC184	ENSG00000177875.4	8.515	22.511	-1.305	4.74e-34
CCDC24	ENSG00000159214.12	8.200	18.260	-1.066	1.04e-52
CCDC28B	ENSG00000160050.14	29.110	11.880	1.225	3.68e-129
CCDC3	ENSG00000151468.10	5.575	28.979	-2.189	3.02e-76
CCDC47	ENSG00000108588.13	71.958	21.700	1.684	1.26e-162
CCDC50	ENSG00000152492.13	18.835	5.520	1.605	5.53e-165
CCDC58	ENSG00000160124.9	21.341	9.910	1.034	1.86e-129
CCDC64	ENSG00000135127.11	3.155	40.430	-3.318	3.91e-137
CCDC65	ENSG00000139537.10	1.150	3.950	-1.203	1.78e-51
CCDC71	ENSG00000177352.9	14.460	3.820	1.681	5.45e-246
CCDC71L	ENSG00000253276.2	6.695	1.560	1.588	1.01e-121
CCDC80	ENSG00000091986.15	74.736	3.030	4.232	2.20e-210
CCDC85B	ENSG00000175602.3	25.535	103.321	-1.975	7.96e-102
CCDC90B	ENSG00000137500.9	49.975	19.020	1.348	6.19e-169
CCDC92	ENSG00000119242.8	46.895	101.969	-1.104	4.63e-63
CCDC94	ENSG00000105248.15	34.895	13.070	1.351	6.68e-161
CCDC97	ENSG00000142039.3	20.105	8.240	1.192	2.09e-140
CCK	ENSG00000187094.11	12.505	301.621	-4.486	5.05e-101
CCKBR	ENSG00000110148.9	0.755	16.750	-3.338	4.93e-117
CCL2	ENSG00000108691.9	21.505	2.580	2.652	1.49e-45
CCL3	ENSG00000277632.1	20.674	0.560	3.796	2.19e-86
CCL3L3	ENSG00000276085.1	6.790	0.880	2.051	1.35e-39
CCL4	ENSG00000275302.1	13.345	0.580	3.183	1.04e-69
CCL4L2	ENSG00000276070.4	10.530	1.470	2.223	7.34e-44
CCNA1	ENSG00000133101.9	0.510	6.850	-2.378	3.23e-100
CCNB2	ENSG00000157456.7	2.225	0.170	1.463	1.02e-61
CCND1	ENSG00000110092.3	31.205	6.790	2.048	1.19e-97
CCND2	ENSG00000118971.7	42.025	16.490	1.299	6.95e-70
CCNE2	ENSG00000175305.16	3.520	0.990	1.184	2.18e-62
CCNI2	ENSG00000205089.7	25.165	78.199	-1.598	5.47e-57
CCNK	ENSG00000090061.17	22.635	8.950	1.248	1.55e-138
CCNO	ENSG00000152669.8	0.310	4.880	-2.166	1.84e-111
CCR1	ENSG00000163823.3	4.100	0.380	1.886	1.03e-88
CCT3	ENSG00000163468.14	200.950	70.482	1.498	2.19e-162
CCT5	ENSG00000150753.11	117.918	50.450	1.209	2.27e-113
CCT7	ENSG00000135624.15	182.429	84.488	1.101	2.87e-129
CD14	ENSG00000170458.13	40.971	4.680	2.885	5.43e-96
CD151	ENSG00000177697.17	72.138	28.349	1.317	8.68e-90
CD163	ENSG00000177575.12	6.700	1.120	1.861	2.33e-32
CD164	ENSG00000135535.14	46.235	22.079	1.033	5.04e-78
CD22	ENSG00000012124.14	2.465	10.870	-1.776	7.54e-50
CD24	ENSG00000272398.5	76.539	4.390	3.847	2.71e-145
CD276	ENSG00000103855.17	33.645	15.050	1.110	8.42e-86
CD2BP2	ENSG00000169217.8	57.170	26.489	1.081	1.20e-154
CD300A	ENSG00000167851.13	7.900	1.270	1.971	5.77e-93
CD320	ENSG00000167775.10	53.260	23.221	1.164	9.98e-133
CD33	ENSG00000105383.14	4.775	0.790	1.690	1.47e-79
CD37	ENSG00000104894.11	21.655	2.580	2.662	2.57e-112
CD38	ENSG00000004468.12	14.335	1.370	2.694	2.68e-114
